id,name,website,country,industry,assets,revenue
http://www.forbes.com/companies/china-citic-bank/,China Citic Bank,http://www.forbes.com/companies/china-citic-bank/,China,Regional Banks,555600000000,27800000000
http://www.forbes.com/companies/reliance-industries/,Reliance Industries,http://www.forbes.com/companies/reliance-industries/,India,Integrated Oil & Gas,67200000000,72800000000
http://www.forbes.com/companies/hutchison-whampoa/,Hutchison Whampoa,http://www.forbes.com/companies/hutchison-whampoa/,Hong Kong,Industrial Conglomerates,105200000000,33000000000
http://www.forbes.com/companies/home-depot/,Home Depot,http://www.forbes.com/companies/home-depot/,United States of America,Home Improvement Retail,40500000000,78800000000
http://www.forbes.com/companies/hitachi/,Hitachi,http://www.forbes.com/companies/hitachi/,Japan,Electronic Equipment & Instruments,104700000000,95700000000
http://www.forbes.com/companies/hon-hai-precision/,Hon Hai Precision,http://www.forbes.com/companies/hon-hai-precision/,"Taiwan, Province of China[a]",Electronic Equipment & Instruments,68200000000,127200000000
http://www.forbes.com/companies/phillips-66/,Phillips 66,http://www.forbes.com/companies/phillips-66/,United States of America,Integrated Oil & Gas,51000000000,157900000000
http://www.forbes.com/companies/capital-one-financial/,Capital One Financial,http://www.forbes.com/companies/capital-one-financial/,United States of America,Consumer Finance,298500000000,24200000000
http://www.forbes.com/companies/moller-maersk/,Møller-Maersk,http://www.forbes.com/companies/moller-maersk/,Denmark,,74500000000,47400000000
http://www.forbes.com/companies/aviva/,Aviva,http://www.forbes.com/companies/aviva/,United Kingdom of Great Britain and Northern Ireland,Life & Health Insurance,449900000000,53800000000
http://www.forbes.com/companies/france-telecom/,France Telecom,http://www.forbes.com/companies/france-telecom/,France,Integrated Telecommunication Services,118300000000,54400000000
http://www.forbes.com/companies/deutsche-telekom/,Deutsche Telekom,http://www.forbes.com/companies/deutsche-telekom/,,Integrated Telecommunication Services,162800000000,79800000000
http://www.forbes.com/companies/bank-of-montreal/,Bank of Montreal,http://www.forbes.com/companies/bank-of-montreal/,Canada,Diversified Banks,531600000000,20100000000
http://www.forbes.com/companies/vinci/,VINCI,http://www.forbes.com/companies/vinci/,France,Construction & Engineering,86900000000,54100000000
http://www.forbes.com/companies/mondelez-international/,Mondelēz International,http://www.forbes.com/companies/mondelez-international/,United States of America,Packaged Foods & Meats,72600000000,35300000000
http://www.forbes.com/companies/suncor-energy/,Suncor Energy,http://www.forbes.com/companies/suncor-energy/,Canada,Integrated Oil & Gas,73700000000,38400000000
http://www.forbes.com/companies/china-telecom/,China Telecom,http://www.forbes.com/companies/china-telecom/,China,Integrated Telecommunication Services,89700000000,52300000000
http://www.forbes.com/companies/occidental-petroleum/,Occidental Petroleum,http://www.forbes.com/companies/occidental-petroleum/,United States of America,Integrated Oil & Gas,70900000000,24400000000
http://www.forbes.com/companies/twenty-first-century-fox-inc/,"Twenty-First Century Fox, Inc.",http://www.forbes.com/companies/twenty-first-century-fox-inc/,United States of America,,53300000000,32000000000
http://www.forbes.com/companies/mitsui-co/,Mitsui & Co,http://www.forbes.com/companies/mitsui-co/,Japan,Trading Companies & Distributors,106700000000,58100000000
http://www.forbes.com/companies/qualcomm/,Qualcomm,http://www.forbes.com/companies/qualcomm/,United States of America,Semiconductors,46300000000,25500000000
